epoch,train_ppl,val_ppl,lr
1,992.8256269544615,451.73612099650035,0.001
2,596.7594189975108,379.30416994448615,0.001
3,505.1153123420074,344.13431797278736,0.001
4,455.0908029797471,322.610406340948,0.001
5,421.1434633823601,307.5387717339819,0.001
6,396.5280108651253,294.25717506656713,0.001
7,376.6633952828517,284.8466167422856,0.001
8,361.22752481155095,277.83061209595115,0.001
9,348.07362043460694,269.69640365865246,0.001
10,336.6551568779189,263.65958910585726,0.001
11,326.8649264933016,259.1789290628226,0.001
12,318.3939650677733,253.60867309947108,0.001
13,310.3767507181838,249.6584653713803,0.001
14,303.6489117397483,246.02127996067202,0.001
15,297.5151519969261,242.52303312506191,0.001
16,291.5002047619406,238.33800874685477,0.001
17,286.563438287371,236.6519742215284,0.001
18,282.08274158928714,233.64585147750668,0.001
19,277.39256062353013,231.26660798905016,0.001
20,273.05166263477037,229.8502565465114,0.001
